product_id,comment,sentiment
P134,"Sản phẩm rất tốt, mình rất hài lòng.",Trung lập
P140,"Không như mong đợi, sản phẩm quá tệ.",Trung lập
P105,Mình thích thiết kế của sản phẩm này!,Trung lập
P154,"Chất lượng tạm ổn, giá hợp lý.",Trung lập
P164,"Giao hàng nhanh, sản phẩm đúng như quảng cáo.",Trung lập
P116,"Màu sắc không giống trong ảnh, thất vọng.",Trung lập
P122,"Giá cả phải chăng, đáng mua.",Trung lập
P168,"Đóng gói cẩn thận, nhưng chất lượng không tốt lắm.",Trung lập
P151,"Hài lòng với sản phẩm này, sẽ mua lần nữa.",Trung lập
P188,"Sản phẩm lỗi, không khuyến khích mua.",Trung lập
P143,Đẹp và chất lượng tốt!,Trung lập
P194,Quá đắt so với chất lượng nhận được.,Trung lập
P101,Mình sẽ giới thiệu sản phẩm này cho bạn bè.,Trung lập
P129,"Hàng về bị móp, không hài lòng.",Trung lập
P189,Dịch vụ chăm sóc khách hàng kém.,Trung lập
P198,Nhận hàng nhanh chóng và chất lượng tuyệt vời.,Trung lập
P130,Màu sắc hợp thời trang.,Trung lập
P194,"Không nên mua, chất lượng kém.",Trung lập
P132,"Phù hợp với giá tiền, mình thấy ổn.",Trung lập
P140,Dịch vụ tuyệt vời và sản phẩm chất lượng.,Trung lập
